Museum,Num,Subspecies,Sex,Locality,region,Type,Island,lat,long,CPL,CIL,UTL,MTL,EPL,PPL,EB,MB,LB,LIB,ZB,BB,LPL,CNL,PBPL,LTPL,LCH,MH,MCH,MCW,MCIL,LTL
BMNH,55.678,T. m. minor,m,"Sungei Lenin, Tinjar River, Baram, Sarawak",N,,Borneo,3.61,114.15,,,16.92,11.88,,18.2,,,15.41,12.08,21.31,15.59,33.05,,22.69,14.01,,10.77,6.41,2.22,25.4,16.22
BMNH,55.679,T. m. minor,m,"Entawa, Samarahan, Sarawak",N,,Borneo,1.12,111.53,33.21,33.01,16.95,12.06,,18.34,,13.82,14.46,11.95,21.1,16.86,35.66,32.31,22.57,13.81,9.42,10.54,7.03,2.45,25.67,15.8
BMNH,55.68,T. m. minor,f,"Sungei Pelandok, Paku, Sarebus, Sarawak",N,,Borneo,1.64,112.3,32.8,32.51,,,,17.48,,14.57,13.82,10.99,20.17,16.58,35.52,32.41,21.44,12.95,9.74,10.15,6.7,2.13,25.68,16.64
BMNH,55.681,T. m. minor,f,"Sungei Pelandok, Paku, Sarebus, Sarawak",N,,Borneo,1.64,112.3,32.56,32.1,16.85,11.5,,18.03,,14.14,12.91,11.43,,16.07,35.44,31.63,21.73,12.66,9.29,10.23,6.8,2.48,24.57,15.89
BMNH,55.682,T. m. minor,m,"Paku, Sarebus, Saeawak",N,,Borneo,1.8,111.3,33.83,33.42,17.33,12.31,,18.42,,13.97,14.01,11.65,19.02,16.18,36.62,33.37,22.2,13.82,9.81,11.25,7.48,2.45,25.89,16.52
BMNH,55.683,T. m. minor,,"Lingit, Sarawak",N,,Borneo,1.58,111.65,34.72,34.25,17.41,11.74,,18.61,,14.37,14.55,11.99,20.47,16.11,37.46,34.34,22.99,14.28,9.98,11.03,7.1,2.43,26.13,16.53
BMNH,61.1152,T. m. malaccana,m,"Bukit Lagong Forest Reserve, Kepong, Selangor, Malaya",W,,Malay Peninsula,3.26,101.61,34.6,34.48,18.22,,,19.3,,14.83,14.44,11.63,20.66,17.18,37.32,34.13,22.91,14.27,9.75,10.93,7.02,2.27,26.11,16.59
BMNH,61.1153,T. m. malaccana,f,"Bukit Lagong Forest Reserve, Kepong, Selangor, Malaya",W,,Malay Peninsula,3.26,101.61,33.07,,,,,18.12,,14.03,13.82,11.13,19.25,16.45,35.45,32.82,21.72,13.58,9.78,10.37,6.77,2.17,24.95,16.17
BMNH,64.4124,T. m. humeralis,,Sumatra,Sumatra,,Sumatra,x,x,,,15.8,12.02,,16.44,,,12.45,10.46,,16.08,,,,11.68,,10.51,6.61,2.22,,
BMNH,67.1478,T. m. malaccana,f,"Base Camp, Gunong Benom, Pahang, Malaysia",E,,Malay Peninsula,3.82,102.09,33.5,33.01,16.88,12.09,,18.26,,14.5,14.29,11.57,20.15,16.27,36.13,33.24,22.05,13.57,9.91,10.73,6.8,2.47,25.58,16.18
BMNH,71.2543,T. m. minor,m,"Cocoa Research Station, Quoin Hill, Tawau, N. Borneo, 750 ft",NE,,Borneo,4.7,118.03,33.52,33.24,17.85,12.21,,18.51,,14.36,13.87,11.02,20,15.66,36.66,32.86,22.61,13.97,9.22,11.16,6.93,2.19,25.55,16.77
BMNH,71.2546,T. m. minor,m,"Cocoa Research Station, Quoin Hill, Tawau, N. Borneo (750 ft)",NE,,Borneo,4.7,118.03,33.75,33.63,17.76,12.13,,18.21,,13.92,13.41,11.2,19.77,15.96,36.01,32.62,22.5,13.97,9.34,9.92,6.33,2.27,26.08,16.79
BMNH,71.2547,T. m. minor,m,"Cocoa Research Station, Quoin Hill, Tawau, N. Borneo (750 ft)",NE,,Borneo,4.7,118.03,33.98,33.57,17.92,12.45,,18.9,,13.87,14.06,11.35,20.08,15.98,36.45,32.83,22.6,14.38,9.49,11.4,7.12,2.16,25.62,16.8
BMNH,71.2548,T. m. minor,m,"Cocoa Research Station, Quoin Hill, Tawau, N. Borneo (750 ft)",NE,,Borneo,4.7,118.03,34.17,33.57,17.56,12.34,,18.96,,14.31,13.72,11.04,18.71,16.14,35.98,33.11,22.68,14.54,8.9,10.23,6.41,2.12,26.03,16.51
BMNH,71.2549,T. m. minor,m,"Cocoa Research Station, Quoin Hill, Tawau, N. Borneo, 750 ft",NE,,Borneo,4.7,118.03,33.84,33.15,16.79,11.86,,,,14.25,13.11,10.75,19.35,16.7,36.23,32.65,22.01,13.95,10.22,10.75,,,,
BMNH,71.2551,T. m. minor,f,"6th Mile Rock Road, Kuching, Sarawak, Borneo",N,,Borneo,1.53,110.34,33.14,32.95,17.7,12.59,,18.24,,13.91,12.74,10.85,,15.65,35.46,31.97,21.75,13.39,9,10.25,6.72,2.05,25.21,16.57
BMNH,71.2552,T. m. minor,m,"Beaufort Compound, N. Borneo",NE,,Borneo,5.58,116.25,35.27,34.91,18.35,12.5,,19.6,,14.41,,11.58,19.37,15.95,37.53,34.36,23.65,,9.31,11.03,6.9,2.14,26.73,16.99
